Entity;Text;Start;End;Name
Money;The land loan for undeveloped lots would be 70% of the appraised raw lot value, which I would estimate as $10,000 per lot for a loan value of $7,000 per lot.;106;113;$10,000
Money;The land loan for undeveloped lots would be 70% of the appraised raw lot value, which I would estimate as $10,000 per lot for a loan value of $7,000 per lot.;142;148;$7,000
Money;Then the loan value for each improved lot would be $15,000 per lot.;51;58;$15,000
Money;This would give you a total loan of $992,000, total cost of $1,232,645 for equity required of $241,000.;36;44;$992,000
Money;This would give you a total loan of $992,000, total cost of $1,232,645 for equity required of $241,000.;60;70;$1,232,645
Money;This would give you a total loan of $992,000, total cost of $1,232,645 for equity required of $241,000.;94;102;$241,000
Organization;The General Partner will contract with Creekside Builders, LLC to construct the units and the fee to CB will include a construction management and overhead fee equal to;39;62;Creekside Builders, LLC
Organization;These fees are the only monies to Creekside, Larry Lewter or myself prior to calculation of profit, except for a) direct reimbursement for partnership expenses and b) direct payment to CB for any subcontractor costs that it has to perform.;34;43;Creekside
Person;These fees are the only monies to Creekside, Larry Lewter or myself prior to calculation of profit, except for a) direct reimbursement for partnership expenses and b) direct payment to CB for any subcontractor costs that it has to perform.;45;57;Larry Lewter
Person;As you, and I presume Keith, want to be involved to learn as much as possible we would make every effort to be accommodating.;22;27;Keith
Person;Sincerely, George Richards;11;26;George Richards
Organization;President, Creekside Builders, LLC - winmail.dat;11;34;Creekside Builders, LLC
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;63;73;09/26/2000
Person;George Richards <cbpres@austin.rr.com> on 09/26/2000 01:18:45;0;15;George Richards
Date;George Richards <cbpres@austin.rr.com> on 09/26/2000 01:18:45;42;52;09/26/2000
Time;George Richards <cbpres@austin.rr.com> on 09/26/2000 01:18:45;53;61;01:18:45
Person;Phillip Allen <pallen@enron.com> cc:;0;13;Phillip Allen
Person;Larry Lewter <retwell@mail.sanmarcos.net>, Claudia L. Crocker;0;12;Larry Lewter
Person;Larry Lewter <retwell@mail.sanmarcos.net>, Claudia L. Crocker;43;61;Claudia L. Crocker
Organization;Each of the individual investors and all of the principals in Creekside would also personally guarantee the loans.;62;71;Creekside
Organization;Unlike many real estate investment programs, none of the funds are used for fees to Creekside Builders, LLC.;84;107;Creekside Builders, LLC
Time;These professional expenses will be incurred over the estimated 6 month design and approval period.;64;71;6 month
Money;The $4,000 per month costs listed in the cash flow as part of land cost represent the extension fees due to the seller for up to 4 months of extensions on closing.;4;10;$4,000
Time;The $4,000 per month costs listed in the cash flow as part of land cost represent the extension fees due to the seller for up to 4 months of extensions on closing.;129;137;4 months
Money;With a land value equal to the purchase price of $680,000 this would mean a land loan of $476,000 with estimated monthly interest payments of $3,966, given a 10% annual interest rate, plus approximately 1.25% of the loan amount for closing costs and loan fees.;49;57;$680,000
Money;With a land value equal to the purchase price of $680,000 this would mean a land loan of $476,000 with estimated monthly interest payments of $3,966, given a 10% annual interest rate, plus approximately 1.25% of the loan amount for closing costs and loan fees.;89;97;$476,000
Money;With a land value equal to the purchase price of $680,000 this would mean a land loan of $476,000 with estimated monthly interest payments of $3,966, given a 10% annual interest rate, plus approximately 1.25% of the loan amount for closing costs and loan fees.;142;148;$3,966
Location;Once the site plan is approved by the City of Austin, the City will require the development entity to post funds for fiscal improvements, referred to as the fiscals.;46;52;Austin
Time;Releases can be granted once every 90 days;35;42;90 days
Time;and you should expect that the release would occur 6 months after the start of lot improvement construction.;51;59;6 months
Money;The lot improvement loan is typically 75% of the appraised value of a finished lot, which I suspect will be at least $20,000 and potentially as high as $25,000.;117;124;$20,000
Money;The lot improvement loan is typically 75% of the appraised value of a finished lot, which I suspect will be at least $20,000 and potentially as high as $25,000.;152;159;$25,000
Money;This would produce a loan amount of $15,000 on $20,000 per lot.;36;43;$15,000
Money;This would produce a loan amount of $15,000 on $20,000 per lot.;47;54;$20,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;44;50;$9,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;65;71;$2,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;93;99;$8,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;129;136;$19,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;155;161;$4,000
Money;Thus, the additional equity for the improvement loan would be $0-$184,000.;63;73;0-$184,000
Money;If the first phase was say 40 units, the total lot improvement cost might average $31,000 per lot.;82;89;$31,000
Money;Of this, probably $13,000 would be for improvements and $19,000 for the land cost.;18;25;$13,000
Money;Of this, probably $13,000 would be for improvements and $19,000 for the land cost.;56;63;$19,000
Money;The land loan for undeveloped lots would be 70% of the appraised raw lot value, which I would estimate as $10,000 per lot for a loan value of $7,000 per lot.;106;113;$10,000
Money;The land loan for undeveloped lots would be 70% of the appraised raw lot value, which I would estimate as $10,000 per lot for a loan value of $7,000 per lot.;142;148;$7,000
Money;Then the loan value for each improved lot would be $15,000 per lot.;51;58;$15,000
Money;This would give you a total loan of $992,000, total cost of $1,232,645 for equity required of $241,000.;36;44;$992,000
Money;This would give you a total loan of $992,000, total cost of $1,232,645 for equity required of $241,000.;60;70;$1,232,645
Money;This would give you a total loan of $992,000, total cost of $1,232,645 for equity required of $241,000.;94;102;$241,000
Organization;The General Partner will contract with Creekside Builders, LLC to construct the units and the fee to CB will include a construction management and overhead fee equal to;39;62;Creekside Builders, LLC
Organization;These fees are the only monies to Creekside, Larry Lewter or myself prior to calculation of profit, except for a) direct reimbursement for partnership expenses and b) direct payment to CB for any subcontractor costs that it has to perform.;34;43;Creekside
Person;These fees are the only monies to Creekside, Larry Lewter or myself prior to calculation of profit, except for a) direct reimbursement for partnership expenses and b) direct payment to CB for any subcontractor costs that it has to perform.;45;57;Larry Lewter
Person;As you, and I presume Keith, want to be involved to learn as much as possible we would make every effort to be accommodating.;22;27;Keith
Person;Sincerely, George Richards;11;26;George Richards
Organization;President, Creekside Builders, LLC - winmail.dat;11;34;Creekside Builders, LLC
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;63;73;09/26/2000
Time;02:00 PM --------------------------- Reschedule;0;8;02:00 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti;0;15;Cindy Cicchetti
Date;10/03/2000 02:30 PM;0;10;10/03/2000
Date;End: 10/03/2000 03:30;5;15;10/03/2000
Product;Gas Physical/Financail Positions - Room 2537;0;3;Gas
Person;Fletcher J Sturm/HOU/ECT;0;16;Fletcher J Sturm
Person;Scott Neal/HOU/ECT;0;10;Scott Neal
Person;Phillip K Allen/HOU/ECT;0;15;Phillip K Allen
Person;Allan Severude/HOU/ECT;0;5;Allan
Person;Scott Mills/HOU/ECT;0;11;Scott Mills
Person;Russ Severson/HOU/ECT;0;13;Russ Severson
Person;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;40;50;09/26/2000
Time;02:00 PM --------------------------- Confirmation;0;8;02:00 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti;0;15;Cindy Cicchetti
Date;10/03/2000 02:30 PM;0;10;10/03/2000
Date;End: 10/03/2000 03:30;5;15;10/03/2000
Product;Gas Physical/Financail Positions - Room 2537;0;3;Gas
Person;Fletcher J Sturm/HOU/ECT;0;16;Fletcher J Sturm
Person;Scott Neal/HOU/ECT;0;10;Scott Neal
Person;Phillip K Allen/HOU/ECT;0;15;Phillip K Allen
Person;Allan Severude/HOU/ECT;0;5;Allan
Person;Scott Mills/HOU/ECT;0;11;Scott Mills
Person;Russ Severson/HOU/ECT;0;13;Russ Severson
Person;Fletcher J Sturm;0;16;Fletcher J Sturm
Person;Scott Neal -;0;10;Scott Neal
Person;Phillip K Allen -;0;15;Phillip K Allen
Person;Allan Severude -;0;5;Allan
Person;Scott Mills -;0;11;Scott Mills
Person;Russ Severson -;0;13;Russ Severson
Person;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM --------------------------- Reschedule;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM --------------------------- Reschedule;40;50;09/26/2000
Time;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM --------------------------- Reschedule;51;59;02:00 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti Start: 09/27/2000 02:00 PM;0;15;Cindy Cicchetti
Date;Cindy Cicchetti Start: 09/27/2000 02:00 PM;23;33;09/27/2000
Time;Cindy Cicchetti Start: 09/27/2000 02:00 PM;34;42;02:00 PM
Date;End: 09/27/2000 03:00;5;15;09/27/2000
Product;Gas Trading Vision Meeting - Room;0;3;Gas
Person;Phillip K Allen/HOU/ECT@ECT Hunter S Shively/HOU/ECT@ECT Scott Mills/HOU/ECT@ECT;0;15;Phillip K Allen
Person;Phillip K Allen/HOU/ECT@ECT Hunter S Shively/HOU/ECT@ECT Scott Mills/HOU/ECT@ECT;57;68;Scott Mills
Person;Allan Severude/HOU/ECT@ECT;0;5;Allan
Person;Jeffrey C Gossett/HOU/ECT@ECT Colleen Sullivan/HOU/ECT@ECT Russ Severson/HOU/ECT@ECT;0;17;Jeffrey C Gossett
Person;Jeffrey C Gossett/HOU/ECT@ECT Colleen Sullivan/HOU/ECT@ECT Russ Severson/HOU/ECT@ECT;30;37;Colleen
Person;Jeffrey C Gossett/HOU/ECT@ECT Colleen Sullivan/HOU/ECT@ECT Russ Severson/HOU/ECT@ECT;59;72;Russ Severson
Person;Russell Long/HOU/ECT@ECT;0;12;Russell Long
Person;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;40;50;09/26/2000
Time;02:00 PM --------------------------- Confirmation;0;8;02:00 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti Start: 09/27/2000 02:00 PM;0;15;Cindy Cicchetti
Date;Cindy Cicchetti Start: 09/27/2000 02:00 PM;23;33;09/27/2000
Time;Cindy Cicchetti Start: 09/27/2000 02:00 PM;34;42;02:00 PM
Date;End: 09/27/2000 03:00;5;15;09/27/2000
Product;Gas Trading Vision Meeting - Room;0;3;Gas
Person;Phillip K Allen/HOU/ECT@ECT Hunter S Shively/HOU/ECT@ECT Scott Mills/HOU/ECT@ECT;0;15;Phillip K Allen
Person;Phillip K Allen/HOU/ECT@ECT Hunter S Shively/HOU/ECT@ECT Scott Mills/HOU/ECT@ECT;57;68;Scott Mills
Person;Allan Severude/HOU/ECT@ECT;0;5;Allan
Person;Jeffrey C Gossett/HOU/ECT@ECT Colleen Sullivan/HOU/ECT@ECT Russ Severson/HOU/ECT@ECT;0;17;Jeffrey C Gossett
Person;Jeffrey C Gossett/HOU/ECT@ECT Colleen Sullivan/HOU/ECT@ECT Russ Severson/HOU/ECT@ECT;30;37;Colleen
Person;Jeffrey C Gossett/HOU/ECT@ECT Colleen Sullivan/HOU/ECT@ECT Russ Severson/HOU/ECT@ECT;59;72;Russ Severson
Person;Russell Long/HOU/ECT@ECT;0;12;Russell Long
Person;Phillip K Allen -;0;15;Phillip K Allen
Person;Scott Mills -;0;11;Scott Mills
Person;Allan Severude -;0;5;Allan
Person;Jeffrey C Gossett;0;17;Jeffrey C Gossett
Person;Colleen Sullivan -;0;7;Colleen
Person;Russ Severson -;0;13;Russ Severson
Person;Russell Long -;0;12;Russell Long
Person;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM --------------------------- Reschedule;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM --------------------------- Reschedule;40;50;09/26/2000
Time;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM --------------------------- Reschedule;51;59;02:00 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;0;15;Cindy Cicchetti
Date;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;23;33;09/28/2000
Time;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;34;42;01:00 PM
Date;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;48;58;09/28/2000
Time;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;59;64;02:00
Product;Gas Physical/Financail Positions - Room 2537;0;3;Gas
Person;Fletcher J Sturm/HOU/ECT;0;16;Fletcher J Sturm
Person;Scott Neal/HOU/ECT;0;10;Scott Neal
Person;Phillip K Allen/HOU/ECT;0;15;Phillip K Allen
Person;Allan Severude/HOU/ECT;0;5;Allan
Person;Scott Mills/HOU/ECT;0;11;Scott Mills
Person;Russ Severson/HOU/ECT;0;13;Russ Severson
Person;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;40;50;09/26/2000
Time;02:00 PM --------------------------- Confirmation;0;8;02:00 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;0;15;Cindy Cicchetti
Date;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;23;33;09/28/2000
Time;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;34;42;01:00 PM
Date;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;48;58;09/28/2000
Time;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;59;64;02:00
Product;Gas Physical/Financail Positions - Room 2537;0;3;Gas
Person;Fletcher J Sturm/HOU/ECT;0;16;Fletcher J Sturm
Person;Scott Neal/HOU/ECT;0;10;Scott Neal
Person;Phillip K Allen/HOU/ECT;0;15;Phillip K Allen
Person;Allan Severude/HOU/ECT;0;5;Allan
Person;Scott Mills/HOU/ECT;0;11;Scott Mills
Person;Russ Severson/HOU/ECT;0;13;Russ Severson
Person;Fletcher J Sturm;0;16;Fletcher J Sturm
Person;Scott Neal -;0;10;Scott Neal
Person;Phillip K Allen -;0;15;Phillip K Allen
Person;Allan Severude -;0;5;Allan
Person;Scott Mills -;0;11;Scott Mills
Person;Russ Severson ->;0;13;Russ Severson
Person;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM ---------------------------;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM ---------------------------;40;50;09/26/2000
Time;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM ---------------------------;51;59;02:00 PM
Person;From: Cindy Cicchetti;6;21;Cindy Cicchetti
Date;09/26/2000;0;10;09/26/2000
Person;Phillip K Allen/HOU/ECT@ECT, Hunter S Shively/HOU/ECT@ECT,;0;15;Phillip K Allen
Person;Scott Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Jeffrey C Gossett/HOU/ECT@ECT,;0;11;Scott Mills
Person;Scott Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Jeffrey C Gossett/HOU/ECT@ECT,;25;30;Allan
Person;Scott Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Jeffrey C Gossett/HOU/ECT@ECT,;53;70;Jeffrey C Gossett
Person;Colleen Sullivan/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Jayant;0;7;Colleen
Person;Colleen Sullivan/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Jayant;30;43;Russ Severson
Person;Russell Long;0;12;Russell Long
Product;Gas Trading Vision mtg.;0;3;Gas
Time;This meeting has been moved to 4:00 on Wed.;31;35;4:00
Time;This meeting has been moved to 4:00 on Wed.;39;42;Wed
Person;Reagan, Just wanted to give you an update.;0;6;Reagan
Person;Kipp Flores is working on the construction drawings.;0;11;Kipp Flores
Person;Phillip;0;7;Phillip
Organization;Nymex expiration is during this time frame.;0;5;Nymex
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;63;73;09/26/2000
Time;12:08 PM --------------------------- Invitation;0;8;12:08 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti;0;15;Cindy Cicchetti
Date;Start: 09/27/2000;7;17;09/27/2000
Time;11:30 AM;0;5;11:30
Date;End: 09/27/2000;5;15;09/27/2000
Time;12:30 PM Description:;0;8;12:30 PM
Product;Gas Trading Vision Meeting - Room EB2556;0;3;Gas
Person;Phillip K Allen/HOU/ECT;0;15;Phillip K Allen
Person;Scott Mills/HOU/ECT;0;11;Scott Mills
Person;Allan Severude/HOU/ECT;0;5;Allan
Person;Jeffrey C Gossett/HOU/ECT;0;17;Jeffrey C Gossett
Person;Colleen Sullivan/HOU/ECT;0;7;Colleen
Person;Russ Severson/HOU/ECT;0;13;Russ Severson
Person;Russell Long/HOU/ECT;0;12;Russell Long
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;63;73;09/26/2000
Time;12:07 PM ---------------------------;0;8;12:07 PM
Person;From: Cindy Cicchetti;6;21;Cindy Cicchetti
Date;09/26/2000 09:23 AM;0;10;09/26/2000
Time;09/26/2000 09:23 AM;11;19;09:23 AM
Person;Phillip K Allen/HOU/ECT@ECT, Hunter S Shively/HOU/ECT@ECT,;0;15;Phillip K Allen
Person;Scott Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Russ Severson/HOU/;0;11;Scott Mills
Person;Scott Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Russ Severson/HOU/;25;30;Allan
Person;Scott Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Russ Severson/HOU/;53;66;Russ Severson
Person;Fletcher J Sturm/HOU/ECT@ECT,;0;16;Fletcher J Sturm
Person;Scott Neal/HOU/ECT@ECT cc: Subject:;0;10;Scott Neal
Product;Gas Physical/Financial Position;0;3;Gas
Time;It will take place on Thursday, 9/28 from 3:00 - 4:00 in Room EB2537.;22;30;Thursday
Time;It will take place on Thursday, 9/28 from 3:00 - 4:00 in Room EB2537.;49;53;4:00
Person; ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 11:57 AM --------------------------- BS Stone <bs_stone@yahoo.com;37;52;Phillip K Allen
Date; ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 11:57 AM --------------------------- BS Stone <bs_stone@yahoo.com;64;74;09/26/2000
Date;> on 09/26/2000 04:47:40 AM;5;15;09/26/2000
Time;> on 09/26/2000 04:47:40 AM;16;27;04:47:40 AM
Person;jeff <jeff@freeyellow.com> cc: Phillip K Allen;31;46;Phillip K Allen
Person; <Phillip.K.Allen@enron.com> Subject: closing Jeff, ?;46;50;Jeff
Time;Is the closing today??;15;20;today
Person;I will go back to mine and Phillip Allen's;27;40;Phillip Allen
Person;Brenda ? ?;0;6;Brenda
Person;Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000;0;7;Phillip
Person;Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000;44;59;Phillip K Allen
Date;Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000;71;81;09/25/2000
Time;02:01 PM --------------------------- Reschedule;0;8;02:01 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;0;15;Cindy Cicchetti
Date;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;23;33;09/28/2000
Time;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;34;42;01:00 PM
Date;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;48;58;09/28/2000
Time;Cindy Cicchetti Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00;59;64;02:00
Product;Gas Physical/Financail Positions - Room 2537;0;3;Gas
Person;Fletcher J Sturm/HOU/ECT;0;16;Fletcher J Sturm
Person;Scott Neal/HOU/ECT;0;10;Scott Neal
Person;Phillip K Allen/HOU/ECT;0;15;Phillip K Allen
Person;Allan Severude/HOU/ECT;0;5;Allan
Person;Scott Mills/HOU/ECT;0;11;Scott Mills
Person;Russ Severson/HOU/ECT;0;13;Russ Severson
Person;The meeting with Richard Burchfield/HOU/ECT was rescheduled.;17;35;Richard Burchfield
Date;On 09/28/2000 03:00:00 PM CDT;3;13;09/28/2000
Person;With: Richard Burchfield/HOU/ECT (Chairperson);6;24;Richard Burchfield
Person;Fletcher J Sturm/HOU/ECT (Invited);0;16;Fletcher J Sturm
Person;Scott Neal/HOU/ECT (Invited);0;10;Scott Neal
Person;Phillip K Allen/HOU/ECT (Invited);0;15;Phillip K Allen
Person;Allan Severude/HOU/ECT (Invited) Scott Mills/HOU/ECT (Invited);0;5;Allan
Person;Allan Severude/HOU/ECT (Invited) Scott Mills/HOU/ECT (Invited);33;44;Scott Mills
Person;Russ Severson/HOU/ECT (Invited);0;13;Russ Severson
Product;Gas Physical/Financail Positions - Room 2537  ;0;3;Gas
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000 02:00 PM --------------------------- Invitation;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000 02:00 PM --------------------------- Invitation;63;73;09/25/2000
Time;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000 02:00 PM --------------------------- Invitation;74;82;02:00 PM
Person;Chairperson: Richard Burchfield Sent by:;13;31;Richard Burchfield
Person;Cindy Cicchetti;0;15;Cindy Cicchetti
Date;Start: 09/27/2000 01:00 PM;7;17;09/27/2000
Time;Start: 09/27/2000 01:00 PM;18;26;01:00 PM
Date;End: 09/27/2000 02:00;5;15;09/27/2000
Time;End: 09/27/2000 02:00;16;21;02:00
Product;Gas Physical/Financail Positions - Room 2537;0;3;Gas
Person;Fletcher J Sturm/HOU/ECT;0;16;Fletcher J Sturm
Person;Scott Neal/HOU/ECT;0;10;Scott Neal
Person;Phillip K Allen/HOU/ECT;0;15;Phillip K Allen
Person;Allan Severude/HOU/ECT;0;5;Allan
Person;Scott Mills/HOU/ECT;0;11;Scott Mills
Person;Russ Severson/HOU/ECT;0;13;Russ Severson
Person;Greg, Happy B-day.;0;4;Greg
Person;Keith Kathy,;0;5;Keith
Person;Keith Kathy,;6;11;Kathy
Product;Regarding the guest password for gas daily, can you please relay the information to Mike Grigsby at 37031 so he can pass it along to the user at gas daily today.;33;36;gas
Person;Regarding the guest password for gas daily, can you please relay the information to Mike Grigsby at 37031 so he can pass it along to the user at gas daily today.;84;96;Mike Grigsby
Product;Regarding the guest password for gas daily, can you please relay the information to Mike Grigsby at 37031 so he can pass it along to the user at gas daily today.;145;148;gas
Time;Regarding the guest password for gas daily, can you please relay the information to Mike Grigsby at 37031 so he can pass it along to the user at gas daily today.;155;160;today
Time;I will be out of the office on Friday.;31;37;Friday
Person;Phillip;0;7;Phillip
Location;John, Denver's short rockies position beyond 2002 is created by their Trailblazer transport.;6;12;Denver
Time;They are scrubbing all their books and booking the Hubert deal on Wednesday and Thursday.;66;75;Wednesday
Time;They are scrubbing all their books and booking the Hubert deal on Wednesday and Thursday.;80;88;Thursday
Person;Phillip;0;7;Phillip
Person;Jim, Is there going to be a conference call or some type of weekly meeting about all the regulatory issues facing California this week?;0;3;Jim
Location;Jim, Is there going to be a conference call or some type of weekly meeting about all the regulatory issues facing California this week?;114;124;California
Time;Jim, Is there going to be a conference call or some type of weekly meeting about all the regulatory issues facing California this week?;130;134;week
Product;Can you make sure the gas desk is included.;22;25;gas
Person;Phillip;0;7;Phillip
Person;George,;0;6;George
Person;Below is a list of questions that Keith and I had regarding the Westgate project:;34;39;Keith
Organization;What is the relationship of Creekside Builders to the project?;28;46;Creekside Builders
Organization;Does Creekside have specific procedures for dealing with subcontractors, vendors, and other professionals?;5;14;Creekside
Person;Phillip;0;7;Phillip
Person; ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/19/2000;37;52;Phillip K Allen
Date; ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/19/2000;64;74;09/19/2000
Person;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;28;43;George Richards
Date;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;70;80;09/08/2000
Time;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;81;92;05:21:49 AM
Person;Phillip Allen <pallen@enron.com> cc:;0;13;Phillip Allen
Person;Larry Lewter <retwell@mail.sanmarcos.net>;0;12;Larry Lewter
Person;Westgate Proforma-Phillip Allen.xls;18;25;Phillip
Location;is Austin that we told you about.;3;9;Austin
Time;As you can tell from the proforma this project should produce a truly exceptional return of over 40% per year over 3 years.;115;122;3 years
Location;Austin and we are introducing new product;0;6;Austin
Location;This is the best project in terms of risk and reward that we have uncovered to date in the Austin market.;91;97;Austin
Location;it is in the Smart Growth Corridor area designated by the City of Austin for preferred development, this will be fast tracked and should be complete in less than 6 months.;66;72;Austin
Time;it is in the Smart Growth Corridor area designated by the City of Austin for preferred development, this will be fast tracked and should be complete in less than 6 months.;162;170;6 months
Location;Austin, which included a detention/retention and filtration pond and street widening.;0;6;Austin
Product;The Lone Star gas line easement in the lower portion of the property is not expected to impact sales significantly.;14;17;gas
Time;The seller accepted our offer Thursday evening with a price of $680,000 and an extended escrow.;30;38;Thursday
Money;The seller accepted our offer Thursday evening with a price of $680,000 and an extended escrow.;63;71;$680,000
Money;This analysis shows your investment at $700,000 for a 50% interest in the profits of the project.;39;47;$700,000
Location;As we discussed in San Marcos, we can also discuss having you invest only in the lots, sell the lots to the construction entity with your profit in the lot.;19;29;San Marcos
Person;Larry Lewter knows an expert in the field in San Antonio if you do not know anyone.;0;12;Larry Lewter
Location;Larry Lewter knows an expert in the field in San Antonio if you do not know anyone.;45;56;San Antonio
Organization;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;78;94;Airborne Express
Time;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;95;100;today
Time;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;105;113;Saturday
Location;A small freakish wind storm with severe 60+mpg downdrafts hit the South part of Austin where we are building 10 town homes.;80;86;Austin
Time;The City shut down the project for a week and it took another week to get every thing back on tract.;37;41;week
Time;The City shut down the project for a week and it took another week to get every thing back on tract.;62;66;week
Time;Then last week I had to take my wife to emergency.;10;14;week
